org,count
"IWSNET, AM",2
"ATINET, NL",2
"BBNED-AS #1, NL",2
"SINET-ISP-AS, UA",2
"REBACOM-AS, NL",2
"SKP, NL",2
"NL-EXA-AS, NL",2
"PEACEWEB-CLOUD - PeaceWeb, US",2
"COMNET-AS, NL",2
"MyBit B.V., NL",2
"GEANT The GEANT IP Service, NL",2
"MEGA-AS, RU",2
"VANCIS Vancis Advanced ICT Services, EU",2
"LCPDCO LCP AS dc oostkamp, BE",2
"JSR-IT-BV, NL",2
"MITSERV, NL",2
"SIDN, NL",2
"LERTAS-AS, SK",2
"PERFGRID, NL",2
"THENATIONALBANKOFTHEKYRGYZREPUBLICAS, KG",2
"ICSOLUTIONS-AS, NL",2
"BREEDBANDDELFT, NL",2
"SB_SERVICE-AS, RU",2
"ITH-AS, RU",2
"IN2IP-AS, NL",2
"NL-SURFBOARD, NL",2
"IPCENTRAL, NL",2
"DATATHREEAS, RU",2
"STARGROUP-UA-AS, UA",2
"NAML, NL",2
"BREEDBANDNEDERLAND, NL",2
"DEDICATEDNODES-AS, NL",2
"ASSEMBLY, NL",2
"MIPSGROUP-AS, UA",2
"DT-IT, NL",2
"H2B H2B Assets B.V., NL",2
"USA-2022 - NovoServe LLC, US",2
"TNGNET, NL",2
"VOIPQ-AS, NL",2
"INTERFORCE, NL",2
"MYGAMESSWITZERLAND, NL",2
"WIFI4ALL-AS, NL",2
"IP-PROJECTS, DE",2
"WKHB-AS2, NL",2
"TFN-TW Taiwan Fixed Network, Telco and Network Service Provider., TW",2
"H4HOSTING-AS, NL",2
"STEFFANN-DC-AS, NL",2
"SKYLINK, NL",1
"CWI-, NL",1
"ALTERNATIVA-NET, UA",1
"COREISP, GB",1
"VIADATA-AS, NL",1
"INFONL-AS INFO, Amsterdam, The Netherlands, NL",1
"LOGIUS-AZ-1, NL",1
"DCSPINE, NL",1
"GLN-AS, UA",1
"XS-ANYWHERE-AS, NL",1
"ZELTELECOM-AS, RU",1
"ZXFACTORY-AS, NL",1
"RUSPHONE-AS, RU",1
"SECUREDIGITALAPP, BH",1
"HOSTIN, NL",1
"VIRTIX, NL",1
"SERVERIUS-USERS-AS, NL",1
"AS-24X7ICT, NL",1
"MEVSPACE, PL",1
"QALEIDO, NL",1
"HOASTED, NL",1
"MICRODATA-AS, DK",1
"GAMEHOUSEEUROPE, NL",1
"SKYRENT-, NL",1
"MIDION-AS, RU",1
"DLINK-AS, RU",1
"NETGUARD-AS Falco Networks BV provides Broadband, Voice, Data, Internet, NL",1
"SMIT-AS, RU",1
"ASSPDCHERNEGA ---DataIX---, UA",1
"AS-GLOBALTELEHOST - GLOBALTELEHOST Corp., CA",1
"GEANT_IAS_VRF, NL",1
"REDWOOD-AS, NL",1
"NEBIUSPA10, NL",1
"ACTIVEHOST-RU-AS, RU",1
"ENGIE-SERVICES-SDO, NL",1
"TWO-HIP, NL",1
"RASERVE, NL",1
"QUPRA-AS, NL",1
"SPEAKUP Speakup BV, NL",1
"GREENHOST-AS-AP Greenhost BV, NL",1
"WRIKE-AS - Wrike, Inc., US",1
"YISP-AS, NL",1
"ZOHO-EU, NL",1
"USI-AS, NL",1
"COLOCATEL-INC Colocatel Network - High Bandwidth Dedicated Servers, SC",1
"DEEPMEDIA-AS, NL",1
"BASEIP, NL",1
"FUGA_NL_1 CYSO-FRA, NL",1
"KRGOVUA-AS, UA",1
"DUSTIN-MS-NL Dustin-Managed-Services-Netherlands, NL",1
"NEWRADIO-AS, RU",1
"PIO-HOSTING, DE",1
"DIEDERIK-AS backbone.direct AS50917 T2 transit network, NL",1
"BROADBANDEU, NL",1
"NEVELTECH, SA",1
"SWOOTH-AS, NL",1
"CYBER-TELECOM-AS, RU",1
"VELTRADE-AS, RU",1
"OLILO-AS, GB",1
"SOFTLAYER - IBM Cloud, US",1
"FORMICIDAE-HOLDINGS, NL",1
"DIGI-RO 75 Dr. Staicovici, RO",1
"UTELISYS Amsterdam, Netherlands, NL",1
"SMEERBOEL-AS SMEERBOEL BV, NL",1
"SRVN-AS EKOMI, NL",1
"HOSTCIRCLE-, NL",1
"LC-VBOXX, NL",1
"CHERNOGOLOVKA-AS, RU",1
"IS-AS-1 - Interserver, Inc, US",1
"CORPORATSIAZNAKAS, RU",1
"SETANTA, NL",1
"ONECENTRAL, NL",1
"ELIVELD-ICT-AS, NL",1
"MATRIXDATA, NL",1
"BEEONE, NL",1
"CONSCIA-NL-202918, NL",1
"CONNECT-AS, RU",1
"VAARTFIBER-AS, NL",1
"ITEECO, NL",1
"HYBULA, NL",1
"PRIVATE-NETWORKS - Private Networks Labs LLC, US",1
"CLOUDEFENCE, NL",1
"PEKITEL-AS, RU",1
"CEB-AS, NL",1
"CROSSIVITY, NL",1
"VSERVERLTD vServer.site, GB",1
"DEANONE-AS, NL",1
"ACKNOWLEDGE-BC, NL",1
"BAKKER-IT-AS, NL",1
"ASN-WERITECH, NL",1
"MCCLOUD, NL",1
"P-PROS, NL",1
"VERIZON-DUAL-HOMED-CUSTOMERS, NL",1
"HOLLANDDATACENTERSBV, NL",1
"AMIGOS-AS, RU",1
"DOMINOICT, NL",1
"SONEXUS-AS, NL",1
"ACCENTURE-LABS, NL",1
"AS-ISTQSERVERS, JO",1
"MAINXS, NL",1
"HYBRID-AS, RU",1
"MILLENIALHOSTLIMITED-AS-GB MillenialHost Limited, HK",1
"GOUDA, NL",1
"SVYAZENERGO-AS, RU",1
"SPRINTCDN SprintCDN LLC, UA",1
"AXUSHOST, NL",1
"PHAROAH-AS, GB",1
"EQUINIX-NL-ASN, NL",1
"JDSERVICE, NL",1
"FLEXYZ, NL",1
"LIFESTREAM-AS, RU",1
"ASN-GREENET, NL",1
"MJLO, NL",1
"DIGITAL-REALTY-, DE",1
"A-LINK, UA",1
"COLODEE-AS-AP COLODEE DIGITAL NETWORK CO.,LTD., TH",1
"TRIPLON-AS, NL",1
"BAKKERSPEES, NL",1
"ICTSHIFT, NL",1
"RTVNOORD-AS, NL",1
"LAYER7-MITIGATION - Layer7 Technologies Inc, US",1
"AS-DATABALANCE, NL",1
"AS-DESEQUITY - Des Equity LLC, US",1
"TELEMAGIC-AS, NL",1
"SECUREDSERVERS-EU, US",1
"MIAC-AS, RU",1
"SKYLINQ, NL",1
"ERITAP-AS, NL",1
"VIBEGAMES, NL",1
"WSO-AS, NL",1
"RONOIT, NL",1
"JTC-AS8697 Jordan Telecom Group JTG , JO",1
"CIRCLEB-ASN, NL",1
"FIBERTELECOM-AS, RU",1
"GULFBRIDGEINTERNATIONAL, VG",1
"HYBRID-POLAND, PL",1
"GAGRATEL-AS, RU",1
"FIBRECAST, GB",1
"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location, GB",1
"GTT-BACKBONE GTT, US",1
"ITELMA-AS, RU",1
"KUSHKHOV-AS, RU",1
"ITSOFT-AS, RU",1
"RELIANCEJIO-IN Reliance Jio Infocomm Limited, IN",1
"Netlojik Bilgi Teknolojileri, TR",1
"N-TELECOM-AS, RU",1
"SUNLIGHT-AS, RU",1
"BRIANTBROADBAND, GB",1
"SCC, NL",1
"INTERBOX-AS InterBox Internet, NL",1
"DATACENTRUMGRONINGEN, NL",1
"NTSERVICE-AS, UA",1
"TELECOM-USLUGI-AS, RU",1
"BEZEQ-INTERNATIONAL-AS Bezeqint Internet Backbone, IL",1
"BNG, NL",1
"BIOCAD_AS, RU",1
"COOLNET-AS, UA",1
"MTTM-AS, UA",1
"IPNG, CH",1
"BITTENBYTES, NL",1
"HESTRONIC, NL",1
"ASN-MGTS-USPD, RU",1
"LINFOSYS, NL",1
"BOOKING-BV Booking.com, NL",1
"H4Y-SR-POOL0, NL",1
"VOM, UA",1
"ESOLUTIONS-AS, BE",1
"AS-CONNECTIUM, NL",1
"TRAVSYS-AS, NL",1
